Case reference,Source sheet,Template column,Issue
S62A/2024/0058,Application (Major),Representations period - End,could not convert value: '03/10/2024  (extended to 18/10/24 for UDC)'
S62A/2024/0058,Application (Major),Representations publish date,could not convert value: 'Q published 03/09. 24 October 2024'
S62A/2024/0058,Application (Major),Hearing  date,could not convert value: 'Provisionally 19 November 2024 Wreps'
S62A/2023/0019RD,Application (Major),Date agreed for additional info,could not convert value: '20/09/2024 App response due. Further time TBA'
S62A/2025/0099,Application (Major),Fee received date,could not convert value: 'requested 11/04/2025'
S62A/2024/0075,Application (Major),Representations period - End,could not convert value: '27/02/2025 (extended to 14/03/25 for UDC)'
S62A/2025/0077,Application (Major),Representations period - End,could not convert value: '20/03/2025 (extended to 11/04/25 for UDC)'
S62A/2024/0040,Application (Non Major),Representations period - start,could not convert value: '11/04/2024 plus 23/04/2024'
S62A/2024/0040,Application (Non Major),Representations period - End,could not convert value: '13/05/2024 now 14/05/2024'
S62A/2024/0039,Application (Non Major),Agent email,could not convert value: 'DE Planning Ltd'
S62A/2024/0039,Application (Non Major),Representations publish date,could not convert value: 'Q published 16/04/24'
S62A/2024/0041,Application (Non Major),LPA questionnaire rec'd date,could not convert value: 'Chased 20/5/24. 24/05/2024'
S62A/2024/0043,Application (Non Major),LPA questionnaire rec'd date,could not convert value: '16/05/2024 (supporting docs chased 20/5/24) 24/05/2024'
S62A/2024/0043,Application (Non Major),Representations publish date,could not convert value: 'Q Published 30/05/2024'
S62A/2024/0043,Application (Non Major),Decision date,could not convert value: 'NA.  Declined jurisdiction'
S62A/2024/0034,Application (Non Major),LPA questionnaire rec'd date,could not convert value: '5/4/24 (0034) & 15/5/24 (0042)'
S62A/2024/0034,Application (Non Major),Representations publish date,could not convert value: 'Q published 28/05/2024'
S62A/2024/0034,Application (Non Major),Decision date,could not convert value: 'NA application withdrawn'
S62A/2024/0046,Application (Non Major),Date agreed for additional info,could not convert value: '27/06/2024. Chaser sent  19/07/2024'
S62A/2024/0044,Application (Non Major),Representations period - End,could not convert value: '01/08/024'
S62A/2024/0053,Application (Non Major),Representations publish date,could not convert value: 'Q published 08/08/2024. 06/09/2024'
S62A/2024/0048,Application (Non Major),S106 submitted date,could not convert value: 'Due 25 Sept 2024. Not received'
S62A/2024/0054,Application (Non Major),Representations publish date,could not convert value: 'Q published 05/09/2024. 09/10/2024'
S62A/2024/0054,Application (Non Major),S106 submitted date,could not convert value: 'Due 19/10/24'
S62A/2024/0061,Application (Non Major),Target publish date,could not convert value: '02/10//2024'
S62A/2024/0063,Application (Non Major),Representations publish date,could not convert value: 'Q published 25/10'
S62A/2024/0065,Application (Non Major),Representations publish date,could not convert value: 'Q Publishd 1/11. No reps'
S62A/2024/0060,Application (Non Major),Representations publish date,could not convert value: 'Q published 26//11'
S62A/2024/0064,Application (Non Major),Representations publish date,could not convert value: 'Q published. No reps'
S62A/2024/0069,Application (Non Major),Date agreed for additional info,could not convert value: '13/11/2024 / 28/11/2024'
S62A/2024/0070,Application (Non Major),Interim findings date,could not convert value: '20/12/2025. Response due 10 Janaury 2025'
S62A/2024/0066,Application (Non Major),Date agreed for additional info,could not convert value: '12/11/2024 - 13/12/2024'
S62A/2024/0066,Application (Non Major),Fee received date,could not convert value: 'requested 22 October 2024'
S62A/2025/0078,Application (Non Major),Fee received date,could not convert value: 'requested 06/02/25'
S62A/2024/0072,Application (Non Major),S106 submitted date,could not convert value: 'due 04/03'
S62A/2025/0079,Application (Non Major),Representations period - start,could not convert value: '20/02/2025 & 26/02/2025'
S62A/2025/0079,Application (Non Major),S106 submitted date,could not convert value: 'submitted 25/02/2025'
S62A/2025/0087,Application (Non Major),Notification received date,could not convert value: '27/03/2024  10/02/2025'
S62A/2025/0109,Application (Non Major),Fee received date,could not convert value: '10/06/205'
S62A/2025/0105,Application (Non Major),Interim findings date,"could not convert value: 'BNG info requested, response due 16 July 2025'"
S62A/2025/0122,Application (Non Major),Fee received date,could not convert value: 'requested 24/09'
S62A/2025/0114,Application (Non Major),Interim findings date,"could not convert value: ""10/09/2025 Applicant's comments invited on Tree Forum response"""
S62A/2025/0113,Application (Non Major),Interim findings date,"could not convert value: ""10/09/2025. Applicant's comments invited on CRU response"""
S62A/2025/0123,Application (Non Major),S106 submitted date,could not convert value: 'due 11/11/2025 '
S62A/2026/0152,Application (Non Major),Fee received date,could not convert value: '£580.00 rec 27/01/2026. £8.00 rec 28/01/2026'
S62A/2026/0152,Application (Non Major),Representations period - End,could not convert value: 'r t'
S62A/2026/0153,Application (Non Major),Fee received date,could not convert value: 'requested 29/01'
S62A/2025/0144,Application (Non Major),LPA questionnaire rec'd date,could not convert value: 'Never receved'
S62A/2025/0145,Application (Non Major),Notification received date,could not convert value: '30/09/2025 & 20/11/2025'
