Field,Source field,Conditions
ParkingExistingSpaces,extended_data.ParkingExistingSpaces,
ParkingProposedSpaces,extended_data.ParkingProposedSpaces,
ParkingSpaceDifference,extended_data.ParkingSpaceDifference,
NonResGroupID,extended_data.NonResGroupID,
UseClass,extended_data.UseClass,
FloorspaceChange,extended_data.FloorspaceChange,
ExistingFloorspaceSqM,extended_data.ExistingFloorspaceSqM,
FloorspaceLostSqM,extended_data.FloorspaceLostSqM,
FloorspaceProposedSqM,extended_data.FloorspaceProposedSqM,
ExistingHousingGroupID,extended_data.ExistingHousingGroupID,
ExistingHousingOccupancyType,extended_data.ExistingHousingOccupancyType,
ExistingHousingUnitType,extended_data.ExistingHousingUnitType,
ExistingHousing1BedCount,extended_data.ExistingHousing1BedCount,
ExistingHousing2BedCount,extended_data.ExistingHousing2BedCount,
ExistingHousing3BedCount,extended_data.ExistingHousing3BedCount,
ExistingHousing4PlusBedCount,extended_data.ExistingHousing4PlusBedCount,
ExistingHousingUnknownBedCount,extended_data.ExistingHousingUnknownBedCount,
ExistingHousingTotalUnits,extended_data.ExistingHousingTotalUnits,
ProposedHousingGroupID,extended_data.ProposedHousingGroupID,
ProposedHousingUnitType,extended_data.ProposedHousingUnitType,
ProposedHousingOccupancyType,extended_data.ProposedHousingOccupancyType,
ProposedHousing1BedCount,extended_data.ProposedHousing1BedCount,
ProposedHousing2BedCount,extended_data.ProposedHousing2BedCount,
ProposedHousing3BedCount,extended_data.ProposedHousing3BedCount,
ProposedHousing4PlusBedCount,extended_data.ProposedHousing4PlusBedCount,
ProposedHousingUnknownBedCount,extended_data.ProposedHousingUnknownBedCount,
ProposedHousingTotalUnits,extended_data.ProposedHousingTotalUnits,
Estimated fee,,
Fee return date,,
SAP8 to SAP Helpdesk (inc customer number),,
Valid letters (17 & 9) to LPA and Applicant,,
SAP 5 to FSSD,,
Comments,,
Proceed Yes/No?,,
Time taken from valid to decision,,
Fee amount,,
LPA comments due,,
Any confidential docs?,,
PPA Target decision date,key_dates.PPATargetDecisionDate,
Article 21 trigger,key_dates.Article21Trigger,
Application fee notes,fees.ApplicationFeeNotes,
DCLG Development Codes,dclg_return.DevelopmentCodes,
